rid,eu_name,authorid,match_type,host_id,source,n_papers,cn_name,field_text,inst_text,year,gold_authorid
78,周专,A5004532333,exact,,round4_maxpapers,206,周专,,,1995,
79,张旭,A5080918583,exact,,round4_maxpapers,1102,张旭,,,1995,
80,陈赛娟,A5106526083,exact,,round4_maxpapers,1436,陈赛娟,,,1995,
81,邓汉湘,A5011023696,exact,,round4_maxpapers,156,邓汉湘,,,1995,
82,张亚平,A5108166978,exact,,round4_maxpapers,1586,张亚平,,,1995,
83,张启发,A5031926979,exact,,round4_maxpapers,297,张启发,,,1995,
84,余龙,A5100345898,exact,,round4_maxpapers,497,余龙,,,1995,
85,冯根生,A5025814619,exact,,round4_maxpapers,252,冯根生,,,1995,
86,李家洋,A5100402504,exact,,round4_maxpapers,1744,李家洋,,,1995,
87,彭友良,A5068346443,exact,,round4_maxpapers,190,彭友良,,,1995,
88,李晓林,A5100362303,exact,,round4_maxpapers,831,李晓林,,,1995,
89,樊代明,A5100715251,exact,,round4_maxpapers,783,樊代明,,,1995,
90,寿成超,A5003697485,exact,,round4_maxpapers,158,寿成超,,,1995,
91,曹亚,A5001123718,exact,,round4_maxpapers,503,曹亚,,,1995,
92,刘进,A5108047622,exact,,round4_maxpapers,1259,刘进,,,1995,
93,付小兵,A5089030416,exact,,round4_maxpapers,718,付小兵,,,1995,
94,郝小江,A5024694580,exact,,round4_maxpapers,899,郝小江,,,1995,
95,龚健雅,A5100574336,exact,,round4_maxpapers,444,龚健雅,,,1995,
96,陶澍,A5025961370,exact,,round4_maxpapers,1154,陶澍,,,1995,
97,丁仲礼,A5104114129,exact,,round4_maxpapers,140,丁仲礼,,,1995,
98,黄润秋,A5112675054,exact,,round4_maxpapers,343,黄润秋,,,1995,
99,吴庆余,A5069570157,exact,,round4_maxpapers,505,吴庆余,,,1995,
100,吴汉宁,A5100341986,exact,,round4_maxpapers,344,吴汉宁,,,1995,
101,万卫星,A5037227927,exact,,round4_maxpapers,589,万卫星,,,1995,
102,吴北婴,A5101811709,exact,,round4_maxpapers,73,吴北婴,,,1995,
103,张经,A5017574831,exact,,round4_maxpapers,2869,张经,,,1995,
104,沈保根,A5025202937,exact,,round4_maxpapers,619,沈保根,,,1995,
105,林昌健,A5002765396,exact,,round4_maxpapers,320,林昌健,,,1995,
106,董闯,A5100319435,exact,,round4_maxpapers,769,董闯,,,1995,
107,侯建国,A5104147210,exact,,round4_maxpapers,67,侯建国,,,1995,
108,姚建年,A5013337744,exact,,round4_maxpapers,907,姚建年,,,1995,
109,许宁生,A5040134560,exact,,round4_maxpapers,1407,许宁生,,,1995,
110,郭其鹏,A5100419611,exact,,round4_maxpapers,549,郭其鹏,,,1995,
111,唐春安,A5110908796,exact,,round4_maxpapers,104,唐春安,,,1995,
112,孙恒虎,A5101638847,exact,,round4_maxpapers,412,孙恒虎,,,1995,
113,吴雅,A5108337108,exact,,round4_maxpapers,2515,吴雅,,,1995,
114,翟婉明,A5008935254,exact,,round4_maxpapers,387,翟婉明,,,1995,
115,徐力平,A5100342425,exact,,round4_maxpapers,2473,徐力平,,,1995,
116,袁驷,A5100540917,exact,,round4_maxpapers,88,袁驷,,,1995,
117,王光谦,A5101785846,exact,,round4_maxpapers,249,王光谦,,,1995,
118,白净,A5100746164,exact,,round4_maxpapers,333,白净,,,1995,
119,陆祖宏,A5100388707,exact,,round4_maxpapers,675,陆祖宏,,,1995,
120,李建中,A5100402504,exact,,round4_maxpapers,1744,李建中,,,1995,
121,吕建,A5100341536,exact,,round4_maxpapers,1510,吕建,,,1995,
122,张晨曦,A5114377242,exact,,round4_maxpapers,274,张晨曦,,,1995,
123,郑南宁,A5047405956,exact,,round4_maxpapers,1218,郑南宁,,,1995,
124,罗毅,A5057282533,exact,,round4_maxpapers,1350,罗毅,,,1995,
125,黄大鸣,A5038187292,exact,,round4_maxpapers,531,黄大鸣,,,1995,
126,王恩哥,A5115694903,exact,,round4_maxpapers,345,王恩哥,,,1995,
127,辛建国,A5108577067,exact,,round4_maxpapers,137,辛建国,,,1995,
128,席西民,A5090409332,exact,,round4_maxpapers,18,席西民,,,1995,
129,任佳刚,A5086804669,exact,,round4_maxpapers,115,任佳刚,,,1996,
130,郑志勇,A5110127139,exact,,round4_maxpapers,1655,郑志勇,,,1996,
131,叶向东,A5107333626,exact,,round4_maxpapers,279,叶向东,,,1996,
132,谈胜利,A5083466095,exact,,round4_maxpapers,127,谈胜利,,,1996,
133,王复明,A5065663097,exact,,round4_maxpapers,488,王复明,,,1996,
134,李灸,A5100402504,exact,,round4_maxpapers,1744,李灸,,,1996,
135,杨戟,A5070014170,exact,,round4_maxpapers,320,杨戟,,,1996,
136,张泽,A5114375150,exact,,round4_maxpapers,2059,张泽,,,1996,
137,王炜,A5069763141,exact,,round4_maxpapers,3868,王炜,,,1996,
138,金晓峰,A5089390321,exact,,round4_maxpapers,279,金晓峰,,,1996,
139,黄新明,A5041883439,exact,,round4_maxpapers,314,黄新明,,,1996,
140,常哲,A5054992172,exact,,round4_maxpapers,309,常哲,,,1996,
141,冯军,A5083654638,exact,,round4_maxpapers,391,冯军,,,1996,
142,吴岳良,A5108337108,exact,,round4_maxpapers,2515,吴岳良,,,1996,
143,林建华,A5110268616,exact,,round4_maxpapers,439,林建华,,,1996,
144,陈小明,A5100420356,exact,,round4_maxpapers,1967,陈小明,,,1996,
145,刘育,A5100345666,exact,,round4_maxpapers,2692,刘育,,,1996,
146,黄培强,A5048553281,exact,,round4_maxpapers,506,黄培强,,,1996,
147,李灿,A5100334060,exact,,round4_maxpapers,1577,李灿,,,1996,
148,田中群,A5100371744,exact,,round4_maxpapers,1072,田中群,,,1996,
149,孙子罕,A5020544203,exact,,round4_maxpapers,159,孙子罕,,,1996,
150,杨玉良,A5100743975,exact,,round4_maxpapers,2388,杨玉良,,,1996,
151,瞿金平,A5058047142,exact,,round4_maxpapers,293,瞿金平,,,1996,
152,吴奇,A5108337108,exact,,round4_maxpapers,2515,吴奇,,,1996,
153,田禾,A5050844324,exact,,round4_maxpapers,1250,田禾,,,1996,
154,徐建国,A5005283872,exact,,round4_maxpapers,414,徐建国,,,1996,
155,高坤山,A5049060149,exact,,round4_maxpapers,467,高坤山,,,1996,
156,袁明,A5070196780,exact,,round4_maxpapers,322,袁明,,,1996,
157,黄大卫,A5039070819,exact,,round4_maxpapers,272,黄大卫,,,1996,
158,焦念志,A5024666177,exact,,round4_maxpapers,406,焦念志,,,1996,
159,崔奕波,A5035362295,exact,,round4_maxpapers,188,崔奕波,,,1996,
160,沈岩,A5003395657,exact,,round4_maxpapers,486,沈岩,,,1996,
161,潘宪明,A5101468880,exact,,round4_maxpapers,385,潘宪明,,,1996,
162,陈江野,A5107886267,exact,,round4_maxpapers,588,陈江野,,,1996,
163,吉永华,A5103188323,exact,,round4_maxpapers,155,吉永华,,,1996,
164,李云庆,A5100391235,exact,,round4_maxpapers,1001,李云庆,,,1996,
165,陈杰,A5100333005,exact,,round4_maxpapers,1223,陈杰,,,1996,
166,宋建国,A5085696968,exact,,round4_maxpapers,550,宋建国,,,1996,
167,贺福初,A5091436402,exact,,round4_maxpapers,561,贺福初,,,1996,
168,裴钢,A5019671286,exact,,round4_maxpapers,368,裴钢,,,1996,
169,吕有勇,A5100752638,exact,,round4_maxpapers,509,吕有勇,,,1996,
170,邓秀新,A5066344731,exact,,round4_maxpapers,447,邓秀新,,,1996,
171,潘申权,A5077856912,exact,,round4_maxpapers,29,潘申权,,,1996,
172,李德发,A5002509297,exact,,round4_maxpapers,1183,李德发,,,1996,
173,杨忠岐,A5106498549,exact,,round4_maxpapers,1659,杨忠岐,,,1996,
174,王宇,A5064352195,exact,,round4_maxpapers,1594,王宇,,,1996,
175,颜光美,A5100462457,exact,,round4_maxpapers,175,颜光美,,,1996,
176,杨静华,A5060279706,exact,,round4_maxpapers,179,杨静华,,,1996,
177,张学光,A5108046748,exact,,round4_maxpapers,1015,张学光,,,1996,
178,钟大放,A5105516990,exact,,round4_maxpapers,460,钟大放,,,1996,
179,倪晋仁,A5059873143,exact,,round4_maxpapers,365,倪晋仁,,,1996,
180,季强,A5076346273,exact,,round4_maxpapers,419,季强,,,1996,
181,王成善,A5065484071,exact,,round4_maxpapers,1375,王成善,,,1996,
182,刘丛强,A5052306453,exact,,round4_maxpapers,800,刘丛强,,,1996,
183,高山,A5100681624,exact,,round4_maxpapers,963,高山,,,1996,
184,陈晓非,A5100358416,exact,,round4_maxpapers,526,陈晓非,,,1996,
185,易帆,A5013676597,exact,,round4_maxpapers,314,易帆,,,1996,
186,李建成,A5100402504,exact,,round4_maxpapers,1744,李建成,,,1996,
187,翟世奎,A5108682811,exact,,round4_maxpapers,94,翟世奎,,,1996,
188,卢柯,A5049092867,exact,,round4_maxpapers,442,卢柯,,,1996,
189,连建设,A5044777534,exact,,round4_maxpapers,321,连建设,,,1996,
190,王福会,A5056793018,exact,,round4_maxpapers,1139,王福会,,,1996,
191,施剑林,A5108427188,exact,,round4_maxpapers,1056,施剑林,,,1996,
192,毛志强,A5064017519,exact,,round4_maxpapers,705,毛志强,,,1996,
193,许家瑞,A5017604391,exact,,round4_maxpapers,325,许家瑞,,,1996,
194,李夕兵,A5100391235,exact,,round4_maxpapers,1001,李夕兵,,,1996,
195,赵阳升,A5107853636,exact,,round4_maxpapers,472,赵阳升,,,1996,
196,郭万林,A5035104993,exact,,round4_maxpapers,580,郭万林,,,1996,
197,胡海岩,A5108071971,exact,,round4_maxpapers,535,胡海岩,,,1996,
198,彭晓峰,A5043568664,exact,,round4_maxpapers,517,彭晓峰,,,1996,
199,李崇坚,A5015488141,exact,,round4_maxpapers,218,李崇坚,,,1996,
200,徐世娘,A5021587496,exact,,round4_maxpapers,78,徐世娘,,,1996,
201,欧进萍,A5103031892,exact,,round4_maxpapers,808,欧进萍,,,1996,
202,任晓敏,A5100656127,exact,,round4_maxpapers,864,任晓敏,,,1996,
203,洪伟,A5100370996,exact,,round4_maxpapers,1890,洪伟,,,1996,
204,李星,A5100362303,exact,,round4_maxpapers,831,李星,,,1996,
205,马利庄,A5084218062,exact,,round4_maxpapers,597,马利庄,,,1996,
206,朱鸿,A5100757520,exact,,round4_maxpapers,1756,朱鸿,,,1996,
207,贾英民,A5100731040,exact,,round4_maxpapers,610,贾英民,,,1996,
208,郭雷,A5100344279,exact,,round4_maxpapers,651,郭雷,,,1996,
209,薛其坤,A5101862667,exact,,round4_maxpapers,483,薛其坤,,,1996,
210,资剑,A5023445411,exact,,round4_maxpapers,295,资剑,,,1996,
211,曹健林,A5108105031,exact,,round4_maxpapers,145,曹健林,,,1996,
212,邹汉法,A5106276897,exact,I180585399,round4_maxpapers,485,邹汉法,色谱分析,中国科学院大连化学物理研究所,1997,A5106276897
213,祝之明,A5111746654,exact,I151075929,round4_semtie,3,祝之明,心血管系统内科学,中国人民解放军第三军医大学,1997,A5087745821
214,朱玉贤,A5025930783,exact,I20231570,round4_maxpapers,154,朱玉贤,植物激素、生长发育及生殖生理,北京大学,1997,A5025930783
215,朱力行,A5108053866,exact,I4210120485,round2_inst,298,朱力行,数理统计,中国科学院数学与系统科学研究院,1997,
216,周仲荣,A5071586711,exact,I4800084,round4_maxpapers,245,周仲荣,摩擦学,西南交通大学,1997,A5071586711
217,周玉,A5108167590,exact,I204983213,round4_maxpapers,1083,周玉,结构陶瓷,哈尔滨工业大学,1997,A5012041302
218,周卫建,A5110010275,exact,I4210159790,round4_maxpapers,336,周卫建,地球化学,中国科学院地球环境研究所,1997,A5110357957
219,周其林,A5075038156,exact,I205237279,round4_semtie,532,周其林,有机化学,南开大学,1997,A5075038156
220,钟志华,A5101987780,exact,I16609230,round4_maxpapers,196,钟志华,机械学科,湖南大学,1997,A5101987780
221,郑晓静,A5072716527,exact,I76214153,round4_maxpapers,281,郑晓静,固体力学,兰州大学,1997,A5072716527
222,赵宪庚,A5103432400,exact,I4210145278,round3_semantic,1,赵宪庚,物理学(I),北京应用物理与计算数学研究所,1997,A5110332885
223,赵少荣,A5102865364,exact,I37461747,round2_inst,8,赵少荣,"大地测量学(物理大地测量,动力大地测量)",武汉大学,1997,
224,赵进才,A5032690227,exact,I4210140689,round2_inst,550,赵进才,环境化学,中国科学院理化技术研究所,1997,A5032690227
225,赵刚,A5046444692,exact,I4210164580,round4_semtie,958,赵刚,恒星物理与星际物质,中国科学院国家天文台,1997,A5046444692
226,章明秋,A5100671757,exact,I157773358,round4_maxpapers,900,章明秋,高分子材料学科,中山大学,1997,A5109596492
227,张志东,A5100672475,exact,I4210126304,round4_semtie,50,张志东,超导材料,中国科学院金属研究所,1997,A5100672482
228,张玉卓,A5108166978,exact,,round4_maxpapers,1586,张玉卓,岩土力学及地基基础,煤炭科学技术研究院有限公司,1997,A5102002176
229,张毅刚,A5057527760,exact,I4210126061,round4_maxpapers,52,张毅刚,岩石学,中国科学院地质与地球物理研究所,1997,A5057527760
230,张希,A5100430842,exact,I194450716,round4_maxpapers,910,张希,高分子科学,吉林大学,1997,A5100430842
231,张文栋,A5100739058,exact,I135714990,round4_maxpapers,1341,张文栋,传感器技术与测试仪器,中北大学,1997,A5100739058
232,张纪峰,A5100784043,exact,I4210120485,round4_maxpapers,349,张纪峰,自动化科学,中国科学院数学与系统科学研究院,1997,A5100784043
233,张洪杰,A5100449651,exact,I4210092888,round4_semtie,1683,张洪杰,固体无机化学,中国科学院长春应用化学研究所,1997,A5100784043
234,尤肖虎,A5072916702,exact,I76569877,round4_maxpapers,1436,尤肖虎,信息理论与信息系统,东南大学,1997,A5072916702
235,雍炯敏,A5101508592,exact,I24943067,round4_maxpapers,271,雍炯敏,控制论,复旦大学,1997,A5101508592
236,应明生,A5023088481,exact,I9842412,round2_inst,404,应明生,计算机科学技术的基础理论,南京航空航天大学,1997,A5023088481
237,叶其壮,A5111803684,exact,I4210112820,round4_semtie,42,叶其壮,生物化学和分子生物学,中国科学院上海药物研究所,1997,A5006122122
238,杨群,A5079077730,exact,I4210103797,round4_semtie,173,杨群,古生物学,中国科学院南京地质古生物研究所,1997,A5062645340
239,许庚,A5101820164,exact,I157773358,round4_maxpapers,110,许庚,耳鼻喉科学,中山大学,1997,A5101820164
240,徐安龙,A5003738856,exact,I157773358,round4_semtie,378,徐安龙,生物化学和分子生物学,中山大学,1997,A5003738856
241,邢达,A5091784280,exact,I187400657,round4_maxpapers,467,邢达,激光,华南师范大学,1997,A5111489285
242,夏照帆,A5046548706,exact,I177933477,round4_maxpapers,262,夏照帆,创伤外科与烧伤外科学,中国人民解放军第二军医大学,1997,A5046548706
243,武向平,A5050877497,exact,I4210164580,round4_maxpapers,176,武向平,宇宙学,中国科学院国家天文台,1997,A5108918695
244,吴忠良,A5101412365,exact,,round4_maxpapers,2295,吴忠良,地球物理学与空间物理,中国地震局地球物理研究所,1997,A5101123158
245,吴平,A5051982289,exact,I76130692,round4_maxpapers,335,吴平,作物遗传育种新方法,浙江大学,1997,A5080399206
246,吴建平,A5001949272,exact,I99065089,round4_semtie,551,吴建平,计算机网络与分布式计算系统,清华大学,1997,A5001949272
247,吴长勤,A5100917903,exact,I24943067,round4_maxpapers,70,吴长勤,凝聚态物性II:电子结构、电学、磁学和光学性质,复旦大学,1997,A5110499325
248,魏于全,A5102973363,exact,I24185976,round3_semantic,1,魏于全,肿瘤学,四川大学,1997,A5090403310
249,魏飞,A5016314802,exact,I99065089,round4_semtie,374,魏飞,化学工程及工业化学,清华大学,1997,A5111728714
250,王永学,A5084584657,exact,I27357992,round4_maxpapers,150,王永学,工程水力学,大连理工大学,1997,A5084584657
251,王诗成,A5100647798,exact,I20231570,round4_semtie,111,王诗成,基础数学,北京大学,1997,
252,王梅祥,A5080389064,exact,I4210155088,round4_semtie,902,王梅祥,有机化学,中国科学院化学研究所,1997,A5057938108
253,王利祥,A5100732436,exact,I4210092888,round4_maxpapers,785,王利祥,高分子合成,中国科学院长春应用化学研究所,1997,A5100732436
254,王道文,A5014137444,exact,I4210124606,round4_semtie,786,王道文,分子遗传学,中国科学院遗传与发育生物学研究所,1997,A5115602062
255,王彪,A5100439502,exact,I204983213,round4_maxpapers,1926,王彪,固体力学,哈尔滨工业大学,1997,A5100439502
256,童真,A5020641370,exact,I90610280,round4_maxpapers,431,童真,高分子科学,华南理工大学,1997,A5020641370
257,唐小我,A5029409118,exact,I150229711,round4_maxpapers,214,唐小我,预测技术,电子科技大学,1997,A5029409118
258,唐承薇,A5073301461,exact,I87780372,round4_semtie,220,唐承薇,消化系统内科学,重庆医科大学,1997,A5073301461
259,谭仁祥,A5109197757,exact,I881766915,round4_maxpapers,276,谭仁祥,药物学,南京大学,1997,A5109192011
260,谈和平,A5090805534,exact,I204983213,round4_maxpapers,345,谈和平,工程热物理与能源利用学科,哈尔滨工业大学,1997,A5090805534
261,孙茂,A5059023717,exact,I82880672,round4_maxpapers,126,孙茂,气动力学,北京航空航天大学,1997,A5059023717
262,孙昌璞,A5101708632,exact,I4210125404,round4_maxpapers,232,孙昌璞,经典物理学和量子理论,中国科学院理论物理研究所,1997,A5101094455
263,丘小庆,A5112845249,exact,I24185976,round4_maxpapers,30,丘小庆,分子神经生物学,四川大学,1997,A5112845249
264,乔利杰,A5100393692,exact,I92403157,round4_maxpapers,458,乔利杰,金属材料学科,北京科技大学,1997,A5100393692
265,欧阳颀,A5046687947,exact,I20231570,round4_maxpapers,337,欧阳颀,热力学与统计物理学(含混沌),北京大学,1997,A5056459691
266,牛焱,A5103445232,exact,I4210126304,round4_maxpapers,38,牛焱,金属腐蚀与防护,中国科学院金属研究所,1997,A5005790113
267,毛希安,A5111704368,exact,I4210099135,round4_maxpapers,86,毛希安,谱学,中国科学院武汉物理与数学研究所,1997,A5111704368
268,马余刚,A5003931166,exact,,round4_semtie,480,马余刚,核物理,中国科学院上海应用物理研究所,1997,A5038434172
269,马大为,A5005585096,exact,I4210112946,round4_semtie,568,马大为,有机化学,中国科学院上海有机化学研究所,1997,A5005585096
270,吕应堂,A5006630427,exact,I37461747,round4_semtie,95,吕应堂,细胞生物学及发育生物学,武汉大学,1997,
271,吕力,A5100386318,exact,I4210159876,round4_maxpapers,374,吕力,物理学(I),中国科学院物理研究所,1997,A5034973415
272,罗泽伟,A5102006860,exact,I24943067,round4_semtie,79,罗泽伟,遗传学,复旦大学,1997,A5088831118
273,刘振宇,A5111822524,exact,I4210159903,round4_maxpapers,522,刘振宇,能源化工,中国科学院山西煤炭化学研究所,1997,A5111822524
274,刘迎龙,A5100687679,exact,I200296433,round4_semtie,531,刘迎龙,心、胸外科学,中国医学科学院,1997,A5057155515
275,刘耀光,A5051375687,exact,I101479585,round4_semtie,202,刘耀光,基因工程,华南农业大学,1997,A5051375687
276,刘俊明,A5025127998,exact,I881766915,round4_maxpapers,1016,刘俊明,金属材料学科,南京大学,1997,A5025127998
277,刘宝元,A5101534676,exact,I25254941,round4_maxpapers,174,刘宝元,土壤侵蚀与水土保持,北京师范大学,1997,A5101534676
278,梁惊涛,A5101429744,exact,I4210140689,round4_maxpapers,94,梁惊涛,工程热力学,中国科学院理化技术研究所,1997,A5101429744
279,李晓红,A5100451525,exact,I158842170,round4_maxpapers,663,李晓红,采矿,重庆大学,1997,A5100451525
280,李晓峰,A5100347672,exact,I4210159876,round4_maxpapers,702,李晓峰,激光,中国科学院物理研究所,1997,A5100347688
281,李献华,A5109663516,exact,I3018690959,round4_maxpapers,564,李献华,同位素地球化学,中国科学院广州地球化学研究所,1997,A5109663516
282,李宁,A5100369038,exact,I52158045,round4_semtie,1212,李宁,遗传育种学,中国农业大学,1997,A5012173547
283,李德铢,A5002509297,exact,I13850615,round2_inst,1183,李德铢,植物系统学与分类学,中国科学院昆明植物研究所,1997,A5132608446
284,康绍忠,A5024977096,exact,I89652312,round2_inst,304,康绍忠,土壤物理学,西北农林科技大学,1997,A5024977096
285,康乐,A5049091907,exact,I4210167311,round3_semantic,669,康乐,生态学,中国科学院动物研究所,1997,A5049091907
286,靳常青,A5048733966,exact,I4210159876,round4_semtie,101,靳常青,超导材料,中国科学院物理研究所,1997,A5100457148
287,蒋志刚,A5078559315,exact,I4210167311,round4_semtie,348,蒋志刚,动物生态学,中国科学院动物研究所,1997,A5078559315
288,蒋华良,A5001392142,exact,I4210112820,round4_semtie,951,蒋华良,有机化学,中国科学院上海药物研究所,1997,A5001392142
289,贾朝华,A5101158304,exact,I4210120485,round4_semtie,51,贾朝华,解析数论,中国科学院数学与系统科学研究院,1997,A5018050420
290,吉敏,A5089412876,exact,I4210120485,round4_maxpapers,168,吉敏,偏微分方程,中国科学院数学与系统科学研究院,1997,A5051507304
291,黄季昆,A5028842885,exact,,round4_semtie,10,黄季昆,农业管理,中国农业科学院农业经济与发展研究所,1997,A5103340878
292,黄海,A5027184005,exact,I4210106477,round3_semantic,213,黄海,分子遗传学,中国科学院上海生命科学研究院,1997,A5018239054
293,胡钧,A5100405533,exact,I4210123885,round4_maxpapers,468,胡钧,物理学(I),中国科学院上海应用物理研究所,1997,A5100405533
294,贺林,A5102798483,exact,I4210106477,round4_semtie,642,贺林,分子遗传学,中国科学院上海生命科学研究院,1997,A5102798483
295,韩忠朝,A5050637827,exact,I200296433,round4_maxpapers,478,韩忠朝,血液与淋巴系统内科学,中国医学科学院,1997,A5050637827
296,韩东一,A5103695801,exact,I2802939634,round4_maxpapers,184,韩东一,耳鼻喉科学,中国人民解放军总医院,1997,A5103695801
297,韩布兴,A5103738179,exact,I4210155088,round4_semtie,26,韩布兴,热化学,中国科学院化学研究所,1997,A5111928301
