rid,eu_name,authorid,match_type,host_id,source,n_papers,cn_name,field_text,inst_text,year,gold_authorid
0,陈永川,A5100359081,exact,,round4_maxpapers,494,陈永川,,,1994,
1,徐超江,A5104169339,exact,,round4_maxpapers,392,徐超江,,,1994,
2,席南华,A5054373059,exact,,round4_maxpapers,49,席南华,,,1994,
3,杨卫,A5100781368,exact,,round4_maxpapers,992,杨卫,,,1994,
4,张洪起,A5100671913,exact,,round4_maxpapers,322,张洪起,,,1994,
5,彭练矛,A5083743480,exact,,round4_maxpapers,682,彭练矛,,,1994,
6,王牧,A5101694733,exact,,round4_maxpapers,1672,王牧,,,1994,
7,罗俊,A5100749903,exact,,round4_maxpapers,675,罗俊,,,1994,
8,冯守华,A5101519300,exact,,round4_maxpapers,484,冯守华,,,1994,
9,姜标,A5109335984,exact,,round4_maxpapers,316,姜标,,,1994,
10,郑兰荪,A5033083880,exact,,round4_maxpapers,2163,郑兰荪,,,1994,
11,赵新生,A5101957666,exact,,round4_maxpapers,269,赵新生,,,1994,
12,何天白,A5101108001,exact,,round4_maxpapers,143,何天白,,,1994,
13,李静海,A5100402504,exact,,round4_maxpapers,1744,李静海,,,1994,
14,邓子新,A5100781054,exact,,round4_maxpapers,606,邓子新,,,1994,
15,宋微波,A5063217724,exact,,round4_maxpapers,458,宋微波,,,1994,
16,方精云,A5101890983,exact,,round4_maxpapers,644,方精云,,,1994,
17,王志新,A5100687842,exact,,round4_maxpapers,1518,王志新,,,1994,
18,李伯良,A5100643214,exact,,round4_maxpapers,877,李伯良,,,1994,
19,顾晓松,A5088536927,exact,,round4_maxpapers,375,顾晓松,,,1994,
20,王宪,A5100352414,exact,,round4_maxpapers,418,王宪,,,1994,
21,孙方臻,A5086434651,exact,,round4_maxpapers,924,孙方臻,,,1994,
22,陈建国,A5107886267,exact,,round4_maxpapers,588,陈建国,,,1994,
23,桂建芳,A5021128215,exact,,round4_maxpapers,436,桂建芳,,,1994,
24,杨焕明,A5101717144,exact,,round4_maxpapers,1777,杨焕明,,,1994,
25,陈竺,A5100449751,exact,,round4_maxpapers,463,陈竺,,,1994,
26,张福锁,A5041917108,exact,,round4_maxpapers,897,张福锁,,,1994,
27,王晓良,A5100369125,exact,,round4_maxpapers,356,王晓良,,,1994,
28,姚檀栋,A5070303297,exact,,round4_maxpapers,640,姚檀栋,,,1994,
29,孙卫国,A5086434651,exact,,round4_maxpapers,924,孙卫国,,,1994,
30,郑永飞,A5038855167,exact,,round4_maxpapers,598,郑永飞,,,1994,
31,彭平安,A5041332589,exact,,round4_maxpapers,53,彭平安,,,1994,
32,朱日祥,A5084344063,exact,,round4_maxpapers,409,朱日祥,,,1994,
33,张禹慎,A5108166978,exact,,round4_maxpapers,1586,张禹慎,,,1994,
34,穆穆,A5110659314,exact,,round4_maxpapers,179,穆穆,,,1994,
35,徐惠彬,A5100297527,exact,,round4_maxpapers,234,徐惠彬,,,1994,
36,魏炳波,A5026176853,exact,,round4_maxpapers,336,魏炳波,,,1994,
37,谢和平,A5004928216,exact,,round4_maxpapers,624,谢和平,,,1994,
38,樊建人,A5013540603,exact,,round4_maxpapers,402,樊建人,,,1994,
39,王兆印,A5100687842,exact,,round4_maxpapers,1518,王兆印,,,1994,
40,刘忠范,A5108047623,exact,,round4_maxpapers,1139,刘忠范,,,1994,
41,李建保,A5100402504,exact,,round4_maxpapers,1744,李建保,,,1994,
42,李晓光,A5100362303,exact,,round4_maxpapers,831,李晓光,,,1994,
43,杨义先,A5100743975,exact,,round4_maxpapers,2388,杨义先,,,1994,
44,何力,A5100317861,exact,,round4_maxpapers,437,何力,,,1994,
45,郭雷,A5100344279,exact,,round4_maxpapers,651,郭雷,,,1994,
46,陈良尧,A5108420105,exact,,round4_maxpapers,261,陈良尧,,,1994,
47,谭建荣,A5039962474,exact,,round4_maxpapers,530,谭建荣,,,1994,
48,胡鞍钢,A5019029825,exact,,round4_maxpapers,205,胡鞍钢,,,1994,
49,袁亚湘,A5111382617,exact,,round4_maxpapers,659,袁亚湘,,,1995,
50,张伟平,A5100657957,exact,,round4_maxpapers,491,张伟平,,,1995,
51,程崇庆,A5107946030,exact,,round4_maxpapers,154,程崇庆,,,1995,
52,张继平,A5115587832,exact,,round4_maxpapers,320,张继平,,,1995,
53,洪友士,A5113136485,exact,,round4_maxpapers,149,洪友士,,,1995,
54,顾元宪,A5100917059,exact,,round4_maxpapers,50,顾元宪,,,1995,
55,郑泉水,A5083186038,exact,,round4_maxpapers,240,郑泉水,,,1995,
56,甘为群,A5113887663,exact,,round4_maxpapers,233,甘为群,,,1995,
57,陆卫,A5100335597,exact,,round4_maxpapers,965,陆卫,,,1995,
58,侯晓远,A5020716271,exact,,round4_maxpapers,228,侯晓远,,,1995,
59,郑杭,A5101613589,exact,,round4_maxpapers,240,郑杭,,,1995,
60,龚旗煌,A5072771171,exact,,round4_maxpapers,1476,龚旗煌,,,1995,
61,李定,A5002509297,exact,,round4_maxpapers,1183,李定,,,1995,
62,严纯华,A5100713322,exact,,round4_maxpapers,828,严纯华,,,1995,
63,麻生明,A5110002574,exact,,round4_maxpapers,1064,麻生明,,,1995,
64,解金春,A5110395520,exact,,round4_maxpapers,38,解金春,,,1995,
65,白春礼,A5064172785,exact,,round4_maxpapers,244,白春礼,,,1995,
66,包信和,A5045204358,exact,,round4_maxpapers,1134,包信和,,,1995,
67,来鲁华,A5064049271,exact,,round4_maxpapers,502,来鲁华,,,1995,
68,孙世刚,A5100673667,exact,,round4_maxpapers,941,孙世刚,,,1995,
69,苏志国,A5087729175,exact,,round4_maxpapers,506,苏志国,,,1995,
70,阮力,A5083200817,exact,,round4_maxpapers,221,阮力,,,1995,
71,赵进东,A5070851446,exact,,round4_maxpapers,1221,赵进东,,,1995,
72,武维华,A5074840856,exact,,round4_maxpapers,286,武维华,,,1995,
73,冯明光,A5085331272,exact,,round4_maxpapers,1405,冯明光,,,1995,
74,李林,A5100412926,exact,,round4_maxpapers,2838,李林,,,1995,
75,刘德培,A5071197747,exact,,round4_maxpapers,301,刘德培,,,1995,
76,屈良鹊,A5109890337,exact,,round4_maxpapers,28,屈良鹊,,,1995,
77,唐建国,A5100708602,exact,,round4_maxpapers,686,唐建国,,,1995,
