rid,eu_name,authorid,match_type,host_id,source,n_papers
3845,Lampros Malafouris,A5063140141,fuzzy,I40120149,rescue_host_unique,77
3893,Bastiaan Jeroen De Kloet,A5041131454,fuzzy,I887064364,rescue_host_unique,142
3945,Magdalena Waligórska-Huhle,A5088957675,fuzzy,I39343248,rescue_host_unique,67
4066,Bethany Aram Worzella,A5036024339,fuzzy,I95013407,rescue_host_unique,60
4080,"Katell, Anne, Sophie Berthelot",A5059140142,fuzzy,I1294671590,rescue_host_unique,172
4185,"Emmanuel, François, Jean Breuillard",A5024332688,fuzzy,I241749,rescue_host_unique,115
4187,Jens Peter Hommelhoff,A5026575046,fuzzy,I181369854,rescue_host_unique,515
4197,"Sylvie, Jeanine Lejeune Ép Lorthois",A5075453232,fuzzy,I1294671590,rescue_duplicate,77
4200,"Philippe, Guy, Marie Marmottant",A5023549418,fuzzy,I1294671590,rescue_duplicate,153
4228,Gert Fredrik Bäckhed,A5047963662,fuzzy,I881427289,rescue_host_unique,315
4230,Maria Carla Saleh Bottegoni,A5082764484,fuzzy,I157536573,rescue_semantic,83
4234,Patricio Aloy Calaf,A5015088787,fuzzy,I4210122345,rescue_maxpapers,213
