rid,eu_name,authorid,oa_display_name,match_type,source,n_papers,host_raw,openalex_url,orcid,yes_or_no
1743,Mikael Anton Vesterinen,A5062951688,M. Vesterinen,fuzzy,rescue_maxpapers,867,"University of Warwick [999976784,UK]",https://openalex.org/A5062951688,https://orcid.org/0000-0001-7717-2765,
1968,Rembertus Abraham Duine,A5045225582,R. A. Duine,fuzzy,rescue_maxpapers,268,"Utrecht University [999985805,NL]",https://openalex.org/A5045225582,https://orcid.org/0000-0001-6663-5111,
2514,"Francis, René, Julien Bach",A5001483226,Francis Bach,fuzzy,rescue_maxpapers,367,"National Institute for Research in Computer Science and Automatic Control (INRIA) [999547074,FR]",https://openalex.org/A5001483226,https://orcid.org/0000-0001-8644-1058,
2538,Albert Atserias Peri,A5003671114,Albert Atserias,fuzzy,rescue_maxpapers,151,"Technical University of Catalonia [999976202,ES]",https://openalex.org/A5003671114,https://orcid.org/0000-0002-3732-1989,
2932,"Sylvie, Jeanine Lejeune Ép Lorthois",A5075453232,Sylvie Lorthois,fuzzy,rescue_maxpapers,77,"National Centre for Scientific Research (CNRS) [999997930,FR]",https://openalex.org/A5075453232,https://orcid.org/0000-0002-0711-3695,
3045,Hugues Albert Sana,A5025696341,H. Sana,fuzzy,rescue_maxpapers,577,"University of Leuven [999991334,BE]",https://openalex.org/A5025696341,https://orcid.org/0000-0001-6656-4130,
3057,David René Bernard Ehrenreich,A5085237456,D. Ehrenreich,fuzzy,rescue_maxpapers,595,"University of Geneva [999974650,CH]",https://openalex.org/A5085237456,https://orcid.org/0000-0001-9704-5405,
3377,Maria Serena Olsaretti,A5044166329,Serena Olsaretti,fuzzy,rescue_maxpapers,67,"Pompeu Fabra University [999867077,ES]",https://openalex.org/A5044166329,https://orcid.org/0000-0001-6775-8551,
3527,"Dariusz, Jacek Wojcik",A5051441410,Dariusz Wójcik,fuzzy,rescue_maxpapers,264,"University of Oxford [999984350,UK]",https://openalex.org/A5051441410,https://orcid.org/0000-0003-2158-284X,
4234,Patricio Aloy Calaf,A5015088787,Patrick Aloy,fuzzy,rescue_maxpapers,213,"Institute for Research in Biomedicine Barcelona [999541836,ES]",https://openalex.org/A5015088787,https://orcid.org/0000-0002-3557-0236,
1587,Andrew John Ridgwell,A5074849392,Andy Ridgwell,fuzzy,rescue_semantic,485,"University of Bristol [999974262,UK]",https://openalex.org/A5074849392,https://orcid.org/0000-0003-2333-0128,
1765,Alexander Retzker Menes,A5053617356,Alex Retzker,fuzzy,rescue_semantic,160,"Hebrew University of Jerusalem [999975038,IL]",https://openalex.org/A5053617356,https://orcid.org/0000-0002-7291-7120,
2219,Bernhard Christian Bayer-Skoff,A5061851293,Bernhard C. Bayer,fuzzy,rescue_semantic,105,"Vienna University of Technology [999979888,AT]",https://openalex.org/A5061851293,https://orcid.org/0000-0002-4829-3207,
2373,Eve Hoggan Christensen,A5002561749,Eve Hoggan,fuzzy,rescue_semantic,65,"Aarhus University [999997736,DK]",https://openalex.org/A5002561749,https://orcid.org/0000-0002-2563-4320,
2511,"Gabriel, Louis, Jean Peyré",A5058651667,Gabriel Peyré,fuzzy,rescue_semantic,371,"National Centre for Scientific Research (CNRS) [999997930,FR]",https://openalex.org/A5058651667,https://orcid.org/0000-0002-4477-0387,
2693,"Fabrice, Denis Raineri",A5012507338,Fabrice Raineri,fuzzy,rescue_semantic,260,"National Centre for Scientific Research (CNRS) [999997930,FR]",https://openalex.org/A5012507338,https://orcid.org/0000-0001-9878-3434,
2934,"Philippe, Guy, Marie Marmottant",A5023549418,Philippe Marmottant,fuzzy,rescue_semantic,153,"National Centre for Scientific Research (CNRS) [999997930,FR]",https://openalex.org/A5023549418,https://orcid.org/0000-0001-6828-6656,
3296,Tihomira Burri,A5087415376,Mira Burri,fuzzy,rescue_semantic,245,"University of Lucerne [987974004,CH]",https://openalex.org/A5087415376,https://orcid.org/0000-0001-9224-3568,
3333,Andrea Sangiovanni Vincentelli,A5023177719,Andrea Sangiovanni,fuzzy,rescue_semantic,84,"King's College London [999981052,UK]",https://openalex.org/A5023177719,https://orcid.org/0000-0002-1915-3969,
3466,Johannes Martin Saxer,A5040746213,Martin Saxer,fuzzy,rescue_semantic,35,"University of Munich (LMU) [999978433,DE]",https://openalex.org/A5040746213,https://orcid.org/0000-0003-1861-605X,
4230,Maria Carla Saleh Bottegoni,A5082764484,Maria‐Carla Saleh,fuzzy,rescue_semantic,83,"Pasteur Institute [999993080,FR]",https://openalex.org/A5082764484,https://orcid.org/0000-0001-8593-4117,
