rid,eu_name,authorid,sci_name,match_type
3890,Maria Margarida De Sa Calafate Ribeiro,A5114101059,Maria Tereza Ferreira Ribeiro,fuzzy
235,Michaël Philippe Weber,A5060887361,Michael Weber,fuzzy
563,Ana Joao Gomes Rodrigues,A5113033200,ANA JÚLIA RODRIGUES,fuzzy
297,Pedro Nuno Chaves Simoes De Carvalho,A5019144308,Pedro Luiz de Carvalho,fuzzy
3890,Maria Margarida De Sa Calafate Ribeiro,A5010410357,Maria Eliana Jubé Ribeiro,fuzzy
471,Luis Filipe Ferreira Moita,A5114548323,Luís Moita,fuzzy
1493,Ana Godinho Ferreira,A5078901261,Ana Gabriela Oliveira Ferreira,fuzzy
1493,Ana Godinho Ferreira,A5104107346,Ana Maria Ferreira,fuzzy
563,Ana Joao Gomes Rodrigues,A5104153380,Ana Luísa Soares Rodrigues,fuzzy
1493,Ana Godinho Ferreira,A5018709441,Ana Bárbara R. De Morais Ferreira,fuzzy
4209,Ana Isabel De Sousa Teixeira,A5039806421,Ana Manuela Fazendeiro Teixeira,fuzzy
980,Ana Isabel De Sousa Teixeira,A5039806421,Ana Manuela Fazendeiro Teixeira,fuzzy
563,Ana Joao Gomes Rodrigues,A5101174721,Ana Maria G. Dias Rodrigues,fuzzy
1493,Ana Godinho Ferreira,A5056795044,Ana Beatriz Medeiros Ferreira,fuzzy
1493,Ana Godinho Ferreira,A5098561539,Ana Rita de Almeida Ferreira,fuzzy
3890,Maria Margarida De Sa Calafate Ribeiro,A5007593759,Maria Auxiliadora Teixeira Ribeiro,fuzzy
3890,Maria Margarida De Sa Calafate Ribeiro,A5027298796,Maria Ivânia Duarte Ribeiro,fuzzy
750,Jose Henrique Veiga Fernandes,A5053729567,José Preza Fernandes,fuzzy
2691,Antonio Ivorra Cano,A5076556614,Antonio Alvarez-Cano,fuzzy
2143,Stephen Dermot Hogan,A5105640519,Stephen Hogan,fuzzy
746,Bruno Miguel De Carvalho E Silva Santos,A5090337809,Bruno Boalento dos Santos,fuzzy
1999,Andrew James Ferguson,A5091548098,Andrew R.B. Ferguson,fuzzy
3890,Maria Margarida De Sa Calafate Ribeiro,A5106246301,MARIA FERNANDA LEAL DOS SANTOS RIBEIRO,fuzzy
563,Ana Joao Gomes Rodrigues,A5050287081,Ana Beatriz Rodrigues,fuzzy
297,Pedro Nuno Chaves Simoes De Carvalho,A5017204662,Pedro Vitor Taranto de Carvalho,fuzzy
1493,Ana Godinho Ferreira,A5102683896,Ana Jhoice de Santana Ferreira,fuzzy
563,Ana Joao Gomes Rodrigues,A5073063989,Ana Luiza Rezende Rodrigues,fuzzy
161,Manuel Irimia Martinez,A5030111578,Manuel Enrique Cedeño-Martínez,fuzzy
161,Manuel Irimia Martinez,A5015770322,Manuel Antonio Castellano Martínez,fuzzy
563,Ana Joao Gomes Rodrigues,A5067585646,Ana Terezinha Rodrigues,fuzzy
2892,Rebeca Marcilla Garcia,A5069414264,Rebeca García García,fuzzy
297,Pedro Nuno Chaves Simoes De Carvalho,A5074450039,Pedro Augusto Oliveira De Carvalho,fuzzy
297,Pedro Nuno Chaves Simoes De Carvalho,A5004055210,Pedro Henrique Freire Carvalho,fuzzy
3890,Maria Margarida De Sa Calafate Ribeiro,A5060800220,Maria Virginia Ribeiro,fuzzy
1786,Sylvain Herve Gigan,A5043933499,Sylvain Gigan,fuzzy
161,Manuel Irimia Martinez,A5068967226,Manuel Alonso Martínez,fuzzy
1400,David Christophe Hernandez,A5031519957,David Ricardo Hernández,fuzzy
342,Casper Cassander Hoogenraad,A5058356091,Casper C. Hoogenraad,fuzzy
297,Pedro Nuno Chaves Simoes De Carvalho,A5082847207,Pedro Humberto Bruno de Carvalho,fuzzy
