rid,eu_name,authorid,match_type,host_id,passed,n_papers,source
2504,David Atienza Alonso,A5074236306,alias,I5124864,True,572,round4_semtie
2506,Lior Wolf,A5078102229,alias,I16391192,True,619,round4_semtie
2517,Albrecht Schmidt,A5062196262,exact,I8204097,True,960,round4_semtie
2520,Manuel Bodirsky,A5058729018,exact,,True,296,round4_semtie
2521,Mauro Birattari,A5061782786,alias,I132053463,True,359,round4_semtie
2524,Philippe Cudre-Mauroux,A5028454093,exact,I154338468,True,293,round4_semtie
2529,Derek Dreyer,A5050585539,alias,I149899117,True,133,round4_semtie
2537,Josef Urban,A5031019731,alias,I44504214,True,278,round4_semtie
2541,Carsten Lutz,A5034616829,exact,I180437899,True,308,round4_semtie
2545,Leonardo Mariani,A5036120394,alias,I189158943,True,276,round4_semtie
2546,Anna-Leena Korhonen,A5040854564,alias,I241749,True,3,round4_semtie
2547,Anders Møller,A5103189175,alias,I204337017,True,169,round4_semtie
2556,Yee Whye Teh,A5064373793,exact,I40120149,True,422,round4_semtie
2558,Vladimir Kolmogorov,A5021390142,exact,I157556583,True,129,round4_semtie
2559,Eike Kiltz,A5002016815,exact,,True,186,round4_semtie
2562,Yehuda Lindell,A5033036383,alias,I13955877,True,276,round4_semtie
2563,Michal Koucky,A5040922782,exact,I21250087,True,150,round4_semtie
2566,Ronald De Wolf,A5066563480,alias,,True,225,round4_semtie
2570,Anastasia Ailamaki,A5070907021,alias,I5124864,True,276,round4_semtie
2589,David Phillips,A5040378209,fuzzy,I23923803,False,750,round4_maxpapers
2592,Birgit Stiller,A5065896036,alias,,True,173,round4_semtie
2594,Coen De Visser,A5008760854,alias,I98358874,False,186,round4_maxpapers
2595,Stanisa Raspopovic,A5033447067,alias,,True,110,round4_semtie
2597,Michèle Wigger,A5065826035,alias,,True,225,round4_semtie
2601,Jan Hasenauer,A5063254041,alias,I135140700,True,307,round4_semtie
2602,Ferruccio Pisanello,A5028454417,exact,I30771326,True,171,round4_semtie
2619,Sebastian Reineke,A5024180183,alias,,True,216,round4_semtie
2620,Carlos Alonso Ramos,A5011803299,alias,I1294671590,True,421,round4_semtie
2626,Elisa Vianello,A5046458712,alias,I2738703131,True,293,round4_semtie
