rid,us_name,authorid,match_type,host_id
1715,Zhongyang Li,A5067333147,exact,I140172145
902,Woo Y Lee,A5004315557,fuzzy,I108468826
1921,Eric Wong,A5066376294,exact,I79576946
735,Candice Y Lumibao,A5062966432,fuzzy,I96749437
2368,Linqing Li,A5031241359,alias,I161057412
2317,Xiang Chen,A5100441912,alias,I102149020
2564,Ali A Ansari,A5109463417,fuzzy,I11786554
1107,Bin Sun,A5066365050,alias,I87216513
2318,Allison J Lopatkin,A5080009166,fuzzy,I5388228
439,Pradeep Sharma,A5100620120,alias,I44461941
34,Zhenyu Gan,A5083017120,exact,I70983195
1859,Yunhui He,A5082790650,exact,I44461941
1090,Molly M MacInnes,A5021263125,fuzzy,I173288447
466,Elizabeth Jerison,A5067499591,alias,I40347166
715,Robert J Lemke Oliver,A5015643236,fuzzy,I135310074
2914,Weitian Wang,A5031750708,alias,I166088655
463,Wei Zhang,A5100441502,exact,I63966007
291,Tong Huang,A5048703431,alias,I26538001
1610,Yang Zhang,A5100752838,alias,I137902535
2590,Yu-Xiang Wang,A5100445279,fuzzy,I36258959
222,Yu Huang,A5026409576,fuzzy,I200719446
1395,Michael K Brown,A5110068720,fuzzy,I82497590
1409,Sergio Gago Masague,A5024963270,exact,I204250578
1720,Lei Zhou,A5039043371,alias,I135310074
369,Xi Wang,A5100442220,alias,I86501945
1244,Yao Zheng,A5100342743,exact,I140172145
2760,Lisa Dierker,A5109412692,alias,I100538780
891,Li Ke,A5100343545,alias,I201448701
177,Gang Qiu,A5046303912,alias,I130238516
641,Sara J Germain,A5040497616,fuzzy,I12834331
1953,Weiwen Jiang,A5103456104,exact,I162714631
2914,Weitian Wang,A5101767053,exact,I166088655
1320,Yan Wang,A5100322712,exact,I33213144
2251,Wen Chen,A5085836910,alias,I1174212
2914,Weitian Wang,A5101767054,exact,I166088655
767,Jia Liu,A5090031793,exact,I33213144
1655,Ping Yang,A5039935543,alias,I91045830
2920,Eric J Tervo,A5014598762,fuzzy,I135310074
1472,Augustin Chaintreau,A5026913706,alias,I78577930
2760,Lisa Dierker,A5071256948,exact,I100538780
2266,Wah Chiu,A5049689333,exact,I97018004
2997,Paulette Clancy,A5030863265,exact,I145311948
1488,Clark Barrett,A5026961968,exact,I97018004
1841,Francis-Yan Cyr-Racine,A5064297957,alias,I169521973
1619,Cristian-Ioan Vasile,A5086654963,alias,I186143895
2907,Jie Ding,A5100697343,alias,I130238516
2435,Ming Yang,A5048213108,exact,I8078737
830,Sangeetha Abdu Jyothi,A5058967466,exact,I204250578
2477,Xin Zhang,A5100327582,exact,I111088046
647,Igor Cialenco,A5061567868,alias,I180949307
357,Yang Lin,A5011073470,exact,I17626003
1626,Chuang Gan,A5040877128,alias,I24603500
152,Wentao Tang,A5101909402,alias,I137902535
1622,Diana Dragomir,A5031964650,exact,I169521973
771,Joel Atallah,A5086244426,alias,I192396691
1555,Sarah Kurtz,A5065574271,alias,I156087764
15,Qianyun Zhang,A5052563154,exact,I10052268
1551,Yuanyuan Shi,A5055691206,exact,I36258959
1173,Ilker Yildirim,A5103134957,exact,I32971472
2751,Chengcheng Huang,A5039355930,alias,I170201317
1901,Baobao Zhang,A5031187446,exact,I70983195
1819,Na Du,A5027093356,alias,I170201317
1639,Chirag Gupta,A5101612909,exact,I135310074
19,Shuna Ni,A5040240885,alias,I66946132
1112,Winnie Chu,A5060538862,alias,I130701444
2812,Sunita Chandrasekaran,A5009614578,alias,I86501945
655,Yan Li,A5100380431,alias,I107672454
2477,Xin Zhang,A5100327478,alias,I111088046
2979,Qian Zhang,A5100401578,alias,I103163165
1431,Juan Pablo Canales,A5050859458,alias,I66958751
2357,Kira Goldner,A5072753842,alias,I111088046
2121,Sarah Dean,A5029554720,exact,I205783295
2820,Agnieszka Miguel,A5075867361,exact,I58610484
1504,Mei Yang,A5101560281,exact,I133999245
469,Aline Eid,A5025955516,exact,I27837315
102,Shijie Cao,A5015998327,alias,I201448701
2293,Xiaolong Geng,A5083007002,alias,I1331384533
954,Cong Ma,A5074490643,alias,I40347166
1614,Xu Wang,A5068653834,exact,I27837315
298,Qiuming Yao,A5103020638,exact,I114395901
95,Giulia Guidi,A5034932123,exact,I205783295
1097,Shan Li,A5100324691,alias,I186143895
2185,Ramya Kumar,A5078716221,exact,I167576493
1648,Danfei Xu,A5028834865,alias,I130701444
2952,John W Williams,A5085275264,exact,I135310074
2820,Agnieszka Miguel,A5014119333,exact,I58610484
1509,Bin Chen,A5073108937,exact,I1331384533
586,Erica Cline,A5111904683,alias,I201448701
943,Zhenkai Zhang,A5043680593,exact,I8078737
