rid,us_name,authorid,match_type,host_id,passed,n_papers,source
1570,Susan G Glenn,A5064461404,fuzzy,,False,43,round4_maxpapers
1574,Emmanuelle A Marquis,A5005125065,alias,,False,1,round4_maxpapers
1577,Johnathan H Broome,A5012228316,fuzzy,,False,2,round4_maxpapers
1587,Kyungtae Kim,A5100713090,alias,,False,448,round4_maxpapers
1591,Melanie R Fewings,A5087197928,alias,,False,1,round4_maxpapers
1612,Carl L Arrington,A5042930784,fuzzy,,False,3,round4_maxpapers
1623,Murat Arcak,A5025743742,exact,I95457486,False,440,round4_maxpapers
1703,Kejie Zhao,A5057355127,alias,,False,182,round4_maxpapers
1714,Isaiah Abimbola,A5031961996,fuzzy,,False,1,round4_maxpapers
1718,Tristan S LEcuyer,A5030353580,fuzzy,,False,2,round4_maxpapers
1721,Samuel Ramsey,A5113939273,alias,,False,54,round4_maxpapers
1733,Philip N Brown,A5048349173,alias,,False,4,round4_maxpapers
1750,Varghese M Vaidyan,A5090994008,fuzzy,I125467818,False,37,round4_maxpapers
1792,Alaine Martaus,A5045471967,exact,,False,297,round4_maxpapers
1835,Vernon K Dunn,A5027772108,fuzzy,,False,1,round4_maxpapers
1851,Stacey D Smith,A5029361917,alias,,False,1,round4_maxpapers
1878,Mark R Sweeney,A5080598676,alias,,False,1,round4_maxpapers
1924,Gabrielle D Pina,A5037263240,fuzzy,,False,1,round4_maxpapers
1976,Jacqueline E Dixon,A5056933367,fuzzy,,False,5,round4_maxpapers
1999,Victoria D Wilder,A5090538920,fuzzy,,False,1,round4_maxpapers
2035,Ashley A Weaver,A5057140665,alias,,False,1,round4_maxpapers
2053,Sarah C Jones,A5019810790,exact,,False,1,round4_maxpapers
2059,Joanna Maria N San Pedro,A5044808931,fuzzy,,False,5,round4_maxpapers
2060,Ryan B Comes,A5074020104,alias,,False,2,round4_maxpapers
2085,Roger H Varney,A5064007159,alias,,False,1,round4_maxpapers
2097,Juan F Patarroyo,A5053161433,fuzzy,,False,21,round4_maxpapers
2130,Karri F DiPetrillo,A5011573057,fuzzy,,False,2,round4_maxpapers
2168,Andrew R Thurber,A5040801727,alias,,False,1,round4_maxpapers
2189,Demyan E Prokopchuk,A5068273549,alias,,False,1,round4_maxpapers
2197,Geraldine L Cochran,A5006627094,alias,,False,1,round4_maxpapers
2241,Maria E Labreveux,A5001922989,fuzzy,,False,9,round4_maxpapers
2262,Nicholas L Balascio,A5008534394,alias,,False,164,round4_maxpapers
2279,India Jackson,A5009288199,alias,,False,9,round4_maxpapers
2286,Lindsey M Knapp,A5003873908,fuzzy,,False,5,round4_maxpapers
2297,Maureen M Sanz,A5075420932,fuzzy,,False,26,round4_maxpapers
2333,Jeffrey T Freymueller,A5072688223,alias,,False,2,round4_maxpapers
2347,Mayra S Artiles Fonseca,A5113867780,fuzzy,,False,2,round4_maxpapers
2355,Karthik C Srikanta,A5092515540,fuzzy,,False,1,round4_maxpapers
2390,Tanzima Z Islam,A5051863378,alias,,False,1,round4_maxpapers
2414,Kyle C Hale,A5040162769,alias,,False,1,round4_maxpapers
2426,Cesar E Valladares,A5021901842,fuzzy,,False,4,round4_maxpapers
2429,Christopher M Lowery,A5055921729,fuzzy,,False,238,round4_maxpapers
2440,Rickey L Silvey,A5033289984,fuzzy,,False,1,round4_maxpapers
2478,Gregory S Mountain,A5019035661,alias,,False,1,round4_maxpapers
2481,Fariborz Tavangarian,A5012985149,alias,,False,90,round4_maxpapers
2490,Roger B Tipton,A5040529379,fuzzy,,False,8,round4_maxpapers
2492,Georgia L Mansell,A5102387951,fuzzy,,False,1,round4_maxpapers
2494,Camelia M Kantor,A5053612289,fuzzy,,False,15,round4_maxpapers
2498,Mikhail V Matz,A5074487326,alias,,False,1,round4_maxpapers
2522,David A Nichols,A5085133141,alias,,False,4,round4_maxpapers
2524,Monica Bugallo,A5058778434,alias,,False,229,round4_maxpapers
2535,Endawoke Yizengaw,A5015381501,alias,,False,2,round4_maxpapers
2536,Cesar E Valladares,A5021901842,fuzzy,,False,4,round4_maxpapers
2557,Philip J Erickson,A5003096673,alias,,False,1,round4_maxpapers
2567,Sarah J Fowell,A5072621073,fuzzy,,False,50,round4_maxpapers
2573,Deirdre C Gonsalves-Jackson,A5021543454,fuzzy,,False,24,round4_maxpapers
2579,Matthew D Zettergren,A5061760517,alias,,False,1,round4_maxpapers
2584,Chau-Wai Wong,A5014799225,exact,I137902535,False,120,round4_maxpapers
2607,Yoel Rodriguez,A5021669224,alias,I50568159,False,32,round4_maxpapers
2637,Steven K Platt,A5050967209,fuzzy,,False,217,round4_maxpapers
2646,Alden C Adolph,A5047623830,alias,,False,1,round4_maxpapers
2677,Matthew D Schau,A5000175507,fuzzy,,False,3,round4_maxpapers
2689,Andrew K Lawton,A5023287055,alias,,False,1,round4_maxpapers
2691,Mohammed A Qazi,A5022161643,fuzzy,I6026837,False,44,round4_maxpapers
2702,Truong X Nghiem,A5080459102,alias,,False,2,round4_maxpapers
2710,Christian W Pester,A5074747161,alias,,False,3,round4_maxpapers
2772,Xiaofei Wang,A5100363486,exact,I75256744,False,329,round4_maxpapers
2773,Jialai Wang,A5058220215,alias,,False,142,round4_maxpapers
2776,Robert E Geer,A5079497121,fuzzy,,False,161,round4_maxpapers
2780,Neelam Azad,A5085464026,alias,I151328261,False,77,round4_maxpapers
2781,Kimberley R Sudler,A5009240695,fuzzy,,False,1,round4_maxpapers
2782,Yalan Ning,A5114164532,alias,,False,19,round4_maxpapers
2802,Jennifer S Tront,A5000816029,fuzzy,,False,18,round4_maxpapers
2805,Alison F Banwell,A5011797189,alias,,False,1,round4_maxpapers
2821,Anthony C Readhead,A5104489199,fuzzy,,False,1,round4_maxpapers
2855,Sara Rivara,A5008608896,fuzzy,,False,2,round4_maxpapers
2867,Matthew C O'Reilly,A5005515045,fuzzy,,False,3,round4_maxpapers
2870,Sally J Tracy,A5068536187,fuzzy,,False,120,round4_maxpapers
2871,Saonli Basu,A5058258081,alias,I130238516,False,133,round4_maxpapers
2892,Alison E Murray,A5027117034,alias,,False,2,round4_maxpapers
2972,Robert Ogburn,A5010920581,fuzzy,,False,2,round4_maxpapers
2973,Benjamin W Garcia,A5101624223,fuzzy,,False,532,round4_maxpapers
