rid,us_name,authorid,match_type,host_id,source,n_papers
8212,Gregory R Bowman,A5029297375,fuzzy,I204465549,round3_semantic,187
8213,Alejandro Toriello,A5081530725,exact,,name_unique,70
8214,Vyas Sekar,A5079175103,alias,I74973139,round2_inst,254
8215,Rui He,A5054080363,alias,I119234918,round2_inst,307
8216,Filippo Radicchi,A5048471401,alias,I592451,round2_inst,163
8217,George K Atia,A5003612688,fuzzy,I106165777,round2_inst,230
8218,Sarita Y Schoenebeck,A5021777354,fuzzy,I27837315,round2_inst,73
8219,Lisa Jones,A5087560866,alias,,round3_semantic,81
8220,Rajamani Gounder,A5072511676,alias,I219193219,round2_inst,139
8221,Jasper F Kok,A5030177777,fuzzy,I161318765,round2_inst,287
8222,Adam W Marcus,A5035697843,fuzzy,I20089843,round2_inst,55
8223,Leslie M Hicks,A5062938521,fuzzy,I114027177,round2_inst,150
8225,Benjamin Kelcey,A5062265733,exact,,name_unique,59
8228,David L Henann,A5061666563,fuzzy,I27804330,round2_inst,78
8229,Andrew T Myers,A5043823677,fuzzy,I12912129,round2_inst,90
8232,John C Jewett,A5075599654,fuzzy,I138006243,round2_inst,68
8233,Manish Kumar,A5088631926,alias,I130769515,round3_semantic,158
8234,Ariella Shikanov,A5042176884,alias,I27837315,round2_inst,133
8235,Nicole C Riddle,A5054176539,fuzzy,I32389192,round2_inst,82
8236,Robert Capra,A5057763542,alias,I114027177,round2_inst,410
8237,Matthew T Whited,A5038379932,fuzzy,I188497080,round2_inst,158
8238,Lisa Anthony,A5036443161,exact,I33213144,round2_inst,139
8239,Ivan Agullo,A5051799871,alias,I121820613,round3_semantic,120
8240,Prashant P Sharma,A5071202801,fuzzy,I135310074,round3_semantic,185
8241,Jin Xie,A5039338731,exact,,round3_semantic,275
8242,Percy Liang,A5025255782,alias,I97018004,round2_inst,440
8243,Alexandre A Shvartsburg,A5029979758,fuzzy,I39587148,round2_inst,177
8244,Nathan C Lindquist,A5049710044,fuzzy,I895819238,round2_inst,87
8246,Ryan Williams,A5063871533,alias,I97018004,round3_semantic,252
8247,Jingrui He,A5073158087,alias,I55732556,round3_semantic,262
8248,Jeff Huang,A5052381120,exact,I27804330,round2_inst,114
8249,Scott A DeLoach,A5061420666,fuzzy,I189590672,round2_inst,120
8250,Shimeng Yu,A5054894631,alias,I55732556,round3_semantic,563
8251,Ximin He,A5014986626,exact,I55732556,round2_inst,140
8253,Alexander Gagnon,A5059773774,alias,I201448701,round2_inst,79
8254,Brenna Argall,A5051354595,exact,,name_unique,116
8255,Paul W Leu,A5032379315,fuzzy,I170201317,round2_inst,76
8256,Jennifer W Carter,A5045515961,fuzzy,I58956616,round3_semantic,73
