rid,aus_name,authorid,match_type,host_id,passed,n_papers,source
766,Laura Weyrich,A5109395385,alias,I5681781,True,113,round4_semtie
782,Danyang Wang,A5100322864,alias,I31746571,True,1193,round4_semtie
785,Eric May,A5013018945,alias,I177877127,True,384,round4_semtie
786,Yi Du,A5055715913,alias,I204824540,True,330,round4_semtie
788,Laurie Menviel,A5049584223,exact,I31746571,True,248,round4_semtie
789,Christopher Ritchie,A5032402500,alias,,True,14,round4_semtie
800,Hao Liu,A5100338921,alias,I114017466,True,3800,round4_semtie
809,Jon McCormack,A5040093215,exact,I56590836,True,162,round4_semtie
818,Anders Eriksson,A5058055590,alias,I165143802,True,545,round4_semtie
831,Ying Zhang,A5100386104,exact,I114017466,True,1277,round4_semtie
840,Jianhua Guo,A5005999266,exact,I165143802,True,509,round4_semtie
842,Christian Rinke,A5049254580,alias,I165143802,True,76,round4_semtie
843,Elizabeth Stephens,A5020827699,alias,I165143802,True,213,round4_semtie
845,Chuan Zhao,A5046268649,alias,I31746571,True,497,round4_semtie
849,Julia Kindt,A5110696782,exact,I129604602,True,61,round4_semtie
854,Kristie Miller,A5070749405,alias,I129604602,True,215,round4_semtie
857,Andrew Marshall,A5069679096,alias,I174025329,True,141,round4_semtie
862,Pu Xiao,A5055198364,exact,I118347636,True,257,round4_semtie
890,Michael Rotkowitz,A5001049101,alias,,True,60,round4_semtie
899,Bernhard Müller,A5113663905,exact,I56590836,True,171,round4_semtie
907,Ali Nazari,A5061714089,exact,I57093077,True,307,round4_semtie
912,Peter Enticott,A5071705176,alias,I149704539,True,396,round4_semtie
917,Jiangtao Xu,A5041558999,alias,I31746571,True,173,round4_semtie
921,Yuan Chen,A5100373745,alias,I129604602,True,18172,round4_semtie
934,Mark Holmes,A5049310318,alias,I165779595,True,96,round4_semtie
940,Jiabao Yi,A5079135640,exact,I78757542,True,307,round4_semtie
954,Wei Kong Pang,A5079731588,exact,I204824540,True,296,round4_semtie
958,Shahram Rahatlou,A5100753969,alias,,True,2428,round4_semtie
965,Jonathan Marshall,A5101881645,alias,I114017466,True,181,round4_semtie
971,Sarah Wright,A5016684951,exact,I78757542,True,110,round4_semtie
974,Koji Tanaka,A5101678756,alias,I118347636,True,399,round4_semtie
988,Nathan Lo,A5011378498,alias,I129604602,True,226,round4_semtie
991,Paola Escudero,A5025374032,alias,I63525965,True,196,round4_semtie
998,Tara Murphy,A5041621306,alias,I129604602,True,418,round4_semtie
1002,Olivier Alard,A5034349319,exact,I99043593,True,208,round4_semtie
1012,Alexander Argyros,A5052698990,exact,,True,201,round4_semtie
1015,Mathieu Duval,A5060957276,exact,I11701301,True,210,round4_semtie
1022,Simon Butt,A5113460872,exact,I129604602,True,128,round4_semtie
1028,Petr Cejka,A5056096904,exact,,True,128,round4_semtie
1039,Yusuke Yamauchi,A5037509120,alias,I165143802,True,1428,round4_semtie
1041,Katherine Selway,A5030030229,fuzzy,,False,1,round4_maxpapers
1048,Elena Marchetti,A5060764907,exact,I11701301,True,80,round4_semtie
1052,Xuan-Ce Wang,A5049854737,exact,I205640436,True,148,round4_semtie
1067,Juno Kim,A5024866431,exact,I31746571,True,148,round4_semtie
1075,Joanne Evans,A5047347308,alias,I56590836,True,79,round4_semtie
1089,Anna Clark,A5104089555,exact,I114017466,True,162,round4_semtie
1096,Jan Hamann,A5106633723,exact,I31746571,True,46,round4_semtie
1105,Andrea Rizzi,A5087154130,exact,I165779595,True,88,round4_semtie
1121,Susan Harris Rimmer,A5108291483,exact,I11701301,True,125,round4_semtie
1133,Martin White,A5017618655,alias,I5681781,True,2350,round4_semtie
1137,Jimin Yu,A5077338822,alias,I118347636,True,196,round4_semtie
1139,Dewei Chu,A5087368019,alias,I31746571,True,313,round4_semtie
1145,Emma Baker,A5058660951,alias,I5681781,True,178,round4_semtie
1147,Sally Cripps,A5089488913,alias,I129604602,True,55,round4_semtie
1151,Hua Xia,A5012086388,alias,I118347636,True,150,round4_semtie
1161,Wenbiao Hu,A5037253679,exact,I160993911,True,469,round4_semtie
1162,Yanbo Wang,A5100452610,exact,I129604602,True,358,round4_semtie
1166,Heather Douglas,A5009036143,exact,I165143802,True,448,round4_semtie
1188,Torsten Thomas,A5088030110,exact,I31746571,True,259,round4_semtie
1189,Chun-Xia Zhao,A5101832764,alias,I165143802,True,330,round4_semtie
1199,Richard Holden,A5031387731,alias,I31746571,True,216,round4_semtie
1207,Stuart Macgregor,A5043306923,alias,I217937681,True,837,round4_semtie
1208,Steven Bozinovski,A5079475266,exact,I82951845,True,183,round4_semtie
1215,Guy Williams,A5034431716,exact,I129801699,True,294,round4_semtie
1220,Andrew Burton-Jones,A5076505283,fuzzy,I165143802,True,235,round4_semtie
1221,Katja Fischer,A5012644402,exact,I217937681,True,146,round4_semtie
1226,Massimiliano Massi,A5047782731,exact,I205640436,True,614,round4_semtie
1228,Christopher Power,A5038583170,alias,,True,492,round4_semtie
1229,Wendy Rogers,A5047218195,exact,I99043593,True,296,round4_semtie
1234,Diana Marculescu,A5065985595,alias,,True,383,round4_semtie
1245,Shinichi Nakagawa,A5064087878,exact,I31746571,True,606,round4_semtie
1259,Michael Ireland,A5044187868,exact,I118347636,True,588,round4_semtie
1261,Abd-Krim Seghouane,A5084681382,alias,I165779595,True,155,round4_semtie
1263,Bim Graham,A5111744240,exact,I56590836,True,154,round4_semtie
1272,Matthew Gilliham,A5037451186,alias,I5681781,True,137,round4_semtie
1273,Jingliang Li,A5110488978,alias,I149704539,True,359,round4_semtie
1289,Wen Lei,A5056913793,alias,I177877127,True,461,round4_semtie
1296,Yingjie Yang,A5011300810,exact,I99043593,True,206,round4_semtie
1306,Zi Huang,A5078170935,exact,I165143802,True,398,round4_semtie
1322,Yongping Wei,A5023849125,exact,I165143802,True,183,round4_semtie
1327,Chenghua Sun,A5058308419,exact,I57093077,True,463,round4_semtie
1333,David Evans,A5100719776,fuzzy,I165143802,True,675,round4_semtie
1335,Valerie Harwood,A5019740879,alias,I129604602,True,174,round4_semtie
1361,Dacheng Tao,A5074103823,alias,I129604602,True,1941,round4_semtie
1368,Xiaolin Wang,A5100395177,exact,I204824540,True,984,round4_semtie
1379,Weihua Liu,A5031637834,alias,I1292875679,True,307,round4_semtie
1386,Xiaodong Huang,A5068970345,exact,I57093077,True,507,round4_semtie
