row_id,code,institution,host_openalex_id,matched_name
1969,FT100100088,The Australian Institute of Marine Science,I1328540965,(manual)
1970,FT100100280,Monash University,I56590836,Monash University
1971,FT100100303,Commonwealth Scientific and Industrial Research Organisation,I1292875679,Commonwealth Scientific and Industrial Research Organisation
1972,FT100100072,Monash University,I56590836,Monash University
1973,FT100100087,Charles Darwin University,I29894533,Charles Darwin University
1974,FT100100260,The University of New South Wales,I31746571,(manual)
1975,FT100100112,The Walter and Eliza Hall Institute of Medical Research,I196021976,(manual)
1976,FT100100293,University of Wollongong,I204824540,University of Wollongong
1977,FT100100192,Monash University,I56590836,Monash University
1978,FT100100232,The University of New South Wales,I31746571,(manual)
1979,FT100100022,The University of Melbourne,I165779595,The University of Melbourne
1980,FT100100091,The University of Sydney,I129604602,The University of Sydney
1981,FT100100297,Deakin University,I149704539,Deakin University
1982,FT100100218,University of Technology Sydney,I114017466,University of Technology Sydney
1983,FT100100215,The University of Sydney,I129604602,The University of Sydney
1984,FT100100100,The Walter and Eliza Hall Institute of Medical Research,I196021976,(manual)
1985,FT100100179,The University of New South Wales,I31746571,(manual)
1986,FT100100237,University of Tasmania,I129801699,University of Tasmania
1987,FT100100113,The University of Queensland,I165143802,The University of Queensland
1988,FT100100241,The Australian National University,I118347636,(manual)
1989,FT100100176,The University of Sydney,I129604602,The University of Sydney
1990,FT100100228,Flinders University,I169541294,Flinders University
1991,FT100100253,The University of New South Wales,I31746571,(manual)
1992,FT100100048,The Australian National University,I118347636,(manual)
1993,FT100100307,The University of Melbourne,I165779595,The University of Melbourne
1994,FT100100235,The Florey Institute of Neuroscience and Mental Health,I242743682,(manual)
1995,FT100100040,The University of Western Australia,I177877127,The University of Western Australia
1996,FT100100242,The Australian National University,I118347636,(manual)
1997,FT100100211,Western Sydney University,I63525965,Western Sydney University
1998,FT100100059,The University of Western Australia,I177877127,The University of Western Australia
1999,FT100100213,University of Tasmania,I129801699,University of Tasmania
2000,FT100100002,Monash University,I56590836,Monash University
2001,FT100100200,The University of Adelaide,I5681781,The University of Adelaide
2002,FT100100250,University of Tasmania,I129801699,University of Tasmania
2003,FT100100024,The University of Sydney,I129604602,The University of Sydney
2004,FT100100139,University of South Australia,I170239107,University of South Australia
2005,FT100100125,University of Canberra,I188329596,University of Canberra
2006,FT100100064,The University of Western Australia,I177877127,The University of Western Australia
2007,FT100100163,Deakin University,I149704539,Deakin University
2008,FT100100134,Curtin University,I205640436,Curtin University
2009,FT100100031,University of Tasmania,I129801699,University of Tasmania
2010,FT100100137,The University of Queensland,I165143802,The University of Queensland
2011,FT100100073,The Australian National University,I118347636,(manual)
2012,FT100100025,The University of New South Wales,I31746571,(manual)
2013,FT100100108,The University of Adelaide,I5681781,The University of Adelaide
2014,FT100100027,The University of Queensland,I165143802,The University of Queensland
2015,FT100100020,The University of Queensland,I165143802,The University of Queensland
2016,FT100100005,The University of Adelaide,I5681781,The University of Adelaide
2017,FT100100098,The University of Sydney,I129604602,The University of Sydney
2018,FT100100109,The University of Adelaide,I5681781,The University of Adelaide
2019,FT100100003,La Trobe University,I196829312,La Trobe University
2020,FT0992328,University of Wollongong,I204824540,University of Wollongong
