rid,aus_name,authorid,match_type,host_id
1833,Anthony White,A5023096783,alias,I165779595
1317,Tracey Banivanua-Mar,A5019824937,exact,I196829312
619,Guo Chen,A5055361870,exact,I31746571
1335,Valerie Harwood,A5025251959,exact,I129604602
1336,Melinda Hinkson,A5052020310,alias,I149704539
2010,Aijun Du,A5082839443,alias,I165143802
1063,Paul Salmon,A5038786080,exact,I174025329
1753,Dan Li,A5100668171,alias,I56590836
972,Kai He,A5035180621,exact,I11701301
714,Anthony Licata,A5006388085,exact,I118347636
445,Jack Hall,A5060245178,alias,I165779595
1595,Mark McLelland,A5063359269,alias,I204824540
1105,Andrea Rizzi,A5087154130,alias,I165779595
467,Lia Kent,A5054494329,exact,I118347636
621,Yang Song,A5103084324,exact,I31746571
1089,Anna Clark,A5104089555,exact,I114017466
1263,Bim Graham,A5019095041,alias,I56590836
2069,David Wilson,A5071119117,alias,I31746571
393,Eben Kirksey,A5043959461,alias,I149704539
1825,Elaine Wong,A5020446939,exact,I165779595
69,Tema Milstein,A5079321078,exact,I31746571
697,Katia Alexander,A5113379741,alias,I118347636
480,Saman Atapattu,A5088812297,exact,I82951845
1006,Sally Treloyn,A5012604252,alias,I165779595
2043,Karlheinz Peter,A5110137969,alias,I142471025
2000,Jian Li,A5100402477,exact,I56590836
512,Haiqing Yu,A5066632201,alias,I82951845
862,Pu Xiao,A5101775944,alias,I118347636
1835,Michael Bromley,A5047315896,exact,I165143802
720,Dong Xu,A5028040461,alias,I129604602
693,Jun Li,A5100361799,exact,I205640436
1903,Stephen Williams,A5111144790,alias,I165143802
1768,Michael Smith,A5101458786,alias,I165779595
1845,Christopher Maher,A5006818962,alias,I129604602
1614,James Bailey,A5027006412,alias,I165779595
369,Jun Huang,A5111604384,exact,I129604602
2165,Christopher Hutchinson,A5058929711,exact,I56590836
2000,Jian Li,A5100402517,exact,I56590836
1484,Tao Liu,A5100338147,alias,I31746571
2038,Martin Thomas,A5081329718,alias,I118347636
409,Christopher Hall,A5103046457,exact,I165779595
954,Wei Kong Pang,A5114186441,exact,I204824540
363,Han Lin,A5101153760,exact,I82951845
840,Jianhua Guo,A5062080737,exact,I165143802
513,Kathryn Allen,A5102248439,alias,I129801699
619,Guo Chen,A5091589438,exact,I31746571
2129,Ying Tan,A5113127469,alias,I165779595
435,Wenjie Zhang,A5100385514,exact,I31746571
87,Gang Li,A5100438608,alias,I165779595
1386,Xiaodong Huang,A5024542237,alias,I57093077
540,David White,A5101806834,alias,I31746571
680,Zhenguo Huang,A5022888844,exact,I114017466
1245,Shinichi Nakagawa,A5064087878,alias,I31746571
1794,Ryan Lowe,A5038882588,alias,I177877127
427,Christopher Drovandi,A5070517866,exact,I160993911
1277,Brendan Choat,A5078155588,alias,I63525965
1867,Katrin Meissner,A5009719935,alias,I31746571
1080,Neil McIntyre,A5103262214,exact,I165143802
2164,Marc in het Panhuis,A5023785226,alias,I204824540
893,Iain Duggin,A5090925805,alias,I114017466
680,Zhenguo Huang,A5076645149,exact,I114017466
1793,Daniel Murphy,A5076710857,alias,I177877127
883,Jennifer Waycott,A5063013979,alias,I165779595
1699,Loeske Kruuk,A5034616536,alias,I118347636
289,Steven Howard,A5036253121,alias,I204824540
300,Kristen Splinter,A5081452912,alias,I31746571
1991,Sarah Maddison,A5066058404,alias,I31746571
2181,Rachel Caruso,A5041297111,alias,I165779595
1661,Patrick Meir,A5050358490,exact,I118347636
746,James Hutchison,A5014292640,alias,I165779595
1639,Jung Ho Kim,A5100426073,exact,I204824540
334,Adam Vogel,A5070930882,alias,I165779595
1973,Ross Bailie,A5021005949,alias,I29894533
1846,Bronwyn Gillanders,A5087370269,alias,I5681781
2091,Amin Abbosh,A5017903283,exact,I165143802
1187,Sarah Brough,A5040414752,exact,I31746571
1259,Michael Ireland,A5044187868,exact,I118347636
2014,Brett Collins,A5019522016,alias,I165143802
747,Thomas White,A5105411514,alias,I118347636
1863,Joachim Gudmundsson,A5087003217,alias,I129604602
1271,Diego García-Bellido,A5061288008,alias,I5681781
724,Timothy Clark,A5108076864,alias,I149704539
1798,Grzegorz Skrzypek,A5029300673,exact,I177877127
422,Corneel Vandelanotte,A5039064332,alias,I74899385
2212,Geoffrey Clark,A5103328554,fuzzy,I118347636
404,Patrick Goodbourn,A5014689210,alias,I165779595
1057,Nicholas Cox,A5033536093,alias,I118347636
1312,Mark Bellgrove,A5073426199,alias,I56590836
691,Xiaojing Hao,A5036517550,exact,I31746571
1834,Michael McCarthy,A5114255818,fuzzy,I165779595
2199,Darryl Russell,A5007839058,alias,I5681781
563,Andrea Gaynor,A5077035185,alias,I177877127
973,Andrew Greentree,A5108167360,alias,I82951845
1874,Dmitry Fursa,A5004665989,alias,I205640436
1191,Olivia Carter,A5060157509,alias,I165779595
429,Darryl Jones,A5081676722,alias,I169541294
1527,Joshua Mylne,A5025271401,alias,I177877127
1776,Andrew Bradley,A5042053820,alias,I165143802
1387,Sue Jackson,A5055178407,alias,I11701301
1923,Nicholas Aroney,A5076654804,alias,I165143802
869,Belinda Ferrari,A5004430695,alias,I31746571
1751,Nerina Jimmieson,A5051665760,alias,I160993911
136,Min Xu,A5100413849,exact,I114017466
1814,Xingquan Zhu,A5084641325,exact,I114017466
1628,Sally-Ann Poulsen,A5007995592,exact,I11701301
1832,Feike Dijkstra,A5064229546,alias,I129604602
2148,Andrew Turpin,A5014748363,exact,I165779595
1314,Justine Smith,A5055467340,alias,I169541294
1592,Paul Low,A5024152240,alias,I177877127
1478,Matthew Burke,A5077531936,exact,I11701301
607,Dimitrie Culcer,A5002700041,exact,I31746571
1289,Wen Lei,A5021855621,alias,I177877127
737,Matthew Hall,A5069239736,alias,I56590836
591,Ha Bui,A5068687167,alias,I56590836
41,Chengxue Qin,A5016692843,alias,I56590836
507,Yao Zheng,A5028236459,exact,I5681781
932,Ilya Shadrivov,A5074820946,alias,I118347636
1020,Edward Taylor,A5004962328,alias,I57093077
1554,Terence O'Kane,A5006843590,alias,I1292875679
1486,Benjamin Boyd,A5012711579,alias,I56590836
1199,Richard Holden,A5031387731,alias,I31746571
1333,David Evans,A5034059205,alias,I165143802
1658,Sarah Harmer,A5071762672,alias,I169541294
1443,Seok-Hee Hong,A5071834503,exact,I129604602
1594,Patrick Baker,A5085092796,alias,I165779595
1418,Paula McDonald,A5034040008,alias,I160993911
1506,Gita Mishra,A5070105243,alias,I165143802
1254,Erica Donner,A5072354171,exact,I170239107
2049,Hong-Yuan Liu,A5032709433,alias,I129604602
701,Kathy Mills,A5076819534,alias,I86695891
1441,Joseph Hope,A5013157879,alias,I118347636
984,Ina Bornkessel-Schlesewsky,A5052817033,alias,I170239107
475,Joseph Richardson,A5085440998,alias,I82951845
772,Steven Wiederman,A5004313903,alias,I5681781
1921,Janine Deakin,A5003786277,alias,I188329596
1119,Denis O'Carroll,A5066567292,alias,I31746571
469,Simine Vazire,A5011404541,alias,I165779595
1140,Damien Hicks,A5036934463,alias,I57093077
1686,Mark Colyvan,A5052471655,exact,I129604602
1352,Jonathan Oakhill,A5070326774,alias,I77826658
2069,David Wilson,A5101885146,alias,I31746571
476,Magdalena Zych,A5090641711,exact,I165143802
2000,Jian Li,A5100402526,alias,I56590836
2000,Jian Li,A5100402501,exact,I56590836
1758,Wayne Davies,A5053471289,alias,I177877127
137,Jordana Silverstein,A5041967891,alias,I165779595
2144,Yuesheng Li,A5108093899,alias,I217937681
63,Luke Munn,A5003334504,exact,I165143802
2168,Matthew Kosnik,A5019659091,alias,I99043593
1166,Heather Douglas,A5004601791,exact,I165143802
1931,Gerrit van den Bergh,A5045189005,alias,I204824540
1096,Jan Hamann,A5106631462,exact,I31746571
245,Georg Fritz,A5015117184,exact,I177877127
1515,Michele Ford,A5102454547,alias,I129604602
1808,Desmond Manderson,A5066667446,exact,I118347636
2129,Ying Tan,A5023089209,exact,I165779595
1361,Dacheng Tao,A5101409301,alias,I129604602
1134,Daniel Anlezark,A5025639135,exact,I129604602
1047,Nicholas Thieberger,A5058531311,alias,I165779595
1460,Dominic Ng,A5059130197,alias,I165143802
521,Markus Müllner,A5002737577,alias,I129604602
1693,Michael Bremner,A5014892188,alias,I114017466
93,Junning Chen,A5066523003,alias,I129604602
1981,Johnson Mak,A5076804968,exact,I149704539
1601,Rui Zhang,A5100702947,alias,I165779595
419,Li Wei,A5100318073,alias,I129604602
921,Yuan Chen,A5100400883,exact,I129604602
1368,Xiaolin Wang,A5086550016,exact,I204824540
1072,Rafael Calvo,A5111469195,alias,I129604602
1601,Rui Zhang,A5089010453,alias,I165779595
1997,Baolin Wang,A5100648295,exact,I63525965
240,Yang Liu,A5011419489,alias,I160993911
1368,Xiaolin Wang,A5114073122,alias,I204824540
1761,Lee Wallace,A5010998218,alias,I129604602
2008,Zongping Shao,A5114093097,exact,I205640436
42,Peter Macreadie,A5020824771,alias,I82951845
1672,Adam Hill,A5000252949,alias,I19514445
828,Sarah Perkins-Kirkpatrick,A5014617513,alias,I31746571
1581,Gavan McNally,A5096940285,fuzzy,I31746571
1261,Abd-Krim Seghouane,A5054471624,alias,I165779595
1472,David Turner,A5030420068,alias,I56590836
974,Koji Tanaka,A5002528469,alias,I118347636
1432,Jennifer Corrin,A5103902179,fuzzy,I165143802
968,Allison Pettit,A5112922499,fuzzy,I165143802
2141,Andrew Martin,A5025764206,alias,I31746571
419,Li Wei,A5100318237,alias,I129604602
1645,Jennifer Lewis,A5105526217,alias,I165779595
2182,Chengrong Chen,A5102179130,alias,I11701301
231,Yi Liu,A5100701075,exact,I31746571
128,Thomas Ford,A5059963865,alias,I196829312
1333,David Evans,A5021657092,exact,I165143802
192,Liang Zheng,A5056834430,exact,I118347636
1038,Denisse Leyton,A5060258346,fuzzy,I118347636
1414,Andrew Berry,A5108801220,alias,I118347636
120,Rachael Swain,A5012038171,exact,I31746571
218,Ling Chen,A5100411093,alias,I114017466
1545,Alexander Heger,A5103780976,alias,I56590836
218,Ling Chen,A5091998613,exact,I114017466
2000,Jian Li,A5100402609,alias,I56590836
781,Andrew Tomkins,A5033728236,exact,I56590836
14,Jia Wu,A5042695000,alias,I99043593
2182,Chengrong Chen,A5048024158,exact,I11701301
1048,Elena Marchetti,A5103088537,exact,I11701301
1440,Stuart Bedford,A5107431997,exact,I118347636
1886,Andrew Harris,A5102744727,alias,I129604602
845,Chuan Zhao,A5101351451,exact,I31746571
1824,Peter Tuthill,A5107234616,alias,I129604602
103,Jun Zhang,A5072629385,exact,I11701301
1600,Tong Lin,A5101104968,alias,I149704539
2094,Birgit Hellwig,A5032018050,alias,I196829312
1293,Christine Winter,A5062676906,exact,I169541294
1133,Martin White,A5065077728,exact,I5681781
1503,Catherine Mills,A5015823657,alias,I56590836
720,Dong Xu,A5051590556,alias,I129604602
1471,Heng Tao Shen,A5036664379,alias,I165143802
1768,Michael Smith,A5058611103,alias,I165779595
1130,Colin Jackson,A5027688608,alias,I118347636
891,Zoran Nikoloski,A5059658943,alias,I165779595
936,Alexander Mikheyev,A5115442973,fuzzy,I118347636
781,Andrew Tomkins,A5110951199,exact,I56590836
1067,Juno Kim,A5101567687,alias,I31746571
1386,Xiaodong Huang,A5101632125,alias,I57093077
302,Vivian Tam,A5112951643,fuzzy,I63525965
434,Tianyi Ma,A5115597730,exact,I82951845
1245,Shinichi Nakagawa,A5064087878,exact,I31746571
1794,Ryan Lowe,A5038882588,exact,I177877127
427,Christopher Drovandi,A5070517866,alias,I160993911
1277,Brendan Choat,A5078155588,exact,I63525965
1080,Neil McIntyre,A5103262214,alias,I165143802
2164,Marc in het Panhuis,A5023785226,exact,I204824540
680,Zhenguo Huang,A5076645149,alias,I114017466
1991,Sarah Maddison,A5066058404,exact,I31746571
1661,Patrick Meir,A5050358490,alias,I118347636
1639,Jung Ho Kim,A5100426073,alias,I204824540
1973,Ross Bailie,A5021005949,exact,I29894533
2091,Amin Abbosh,A5017903283,alias,I165143802
1187,Sarah Brough,A5040414752,alias,I31746571
1259,Michael Ireland,A5044187868,alias,I118347636
1863,Joachim Gudmundsson,A5087003217,exact,I129604602
1798,Grzegorz Skrzypek,A5029300673,alias,I177877127
422,Corneel Vandelanotte,A5039064332,exact,I74899385
691,Xiaojing Hao,A5036517550,alias,I31746571
563,Andrea Gaynor,A5077035185,exact,I177877127
1191,Olivia Carter,A5060157509,exact,I165779595
1387,Sue Jackson,A5055178407,exact,I11701301
1923,Nicholas Aroney,A5076654804,exact,I165143802
136,Min Xu,A5100413849,alias,I114017466
1814,Xingquan Zhu,A5084641325,alias,I114017466
1628,Sally-Ann Poulsen,A5007995592,alias,I11701301
2148,Andrew Turpin,A5014748363,alias,I165779595
1478,Matthew Burke,A5077531936,alias,I11701301
607,Dimitrie Culcer,A5002700041,alias,I31746571
1289,Wen Lei,A5021855621,exact,I177877127
507,Yao Zheng,A5028236459,alias,I5681781
1199,Richard Holden,A5031387731,exact,I31746571
1443,Seok-Hee Hong,A5071834503,alias,I129604602
1418,Paula McDonald,A5034040008,exact,I160993911
1254,Erica Donner,A5072354171,alias,I170239107
984,Ina Bornkessel-Schlesewsky,A5052817033,exact,I170239107
469,Simine Vazire,A5011404541,exact,I165779595
1686,Mark Colyvan,A5052471655,alias,I129604602
476,Magdalena Zych,A5090641711,alias,I165143802
2000,Jian Li,A5100402526,exact,I56590836
2000,Jian Li,A5100402501,alias,I56590836
137,Jordana Silverstein,A5041967891,exact,I165779595
2144,Yuesheng Li,A5108093899,exact,I217937681
63,Luke Munn,A5003334504,alias,I165143802
1166,Heather Douglas,A5004601791,alias,I165143802
1096,Jan Hamann,A5106631462,alias,I31746571
245,Georg Fritz,A5015117184,alias,I177877127
1515,Michele Ford,A5102454547,exact,I129604602
1808,Desmond Manderson,A5066667446,alias,I118347636
2129,Ying Tan,A5023089209,alias,I165779595
1361,Dacheng Tao,A5101409301,exact,I129604602
1134,Daniel Anlezark,A5025639135,alias,I129604602
93,Junning Chen,A5066523003,exact,I129604602
1981,Johnson Mak,A5076804968,alias,I149704539
1601,Rui Zhang,A5100702947,exact,I165779595
921,Yuan Chen,A5100400883,alias,I129604602
1368,Xiaolin Wang,A5086550016,alias,I204824540
1072,Rafael Calvo,A5111469195,exact,I129604602
1601,Rui Zhang,A5089010453,exact,I165779595
1997,Baolin Wang,A5100648295,alias,I63525965
240,Yang Liu,A5011419489,exact,I160993911
1368,Xiaolin Wang,A5114073122,exact,I204824540
1761,Lee Wallace,A5010998218,exact,I129604602
2008,Zongping Shao,A5114093097,alias,I205640436
1261,Abd-Krim Seghouane,A5054471624,exact,I165779595
974,Koji Tanaka,A5002528469,exact,I118347636
231,Yi Liu,A5100701075,alias,I31746571
1333,David Evans,A5021657092,alias,I165143802
192,Liang Zheng,A5056834430,alias,I118347636
1414,Andrew Berry,A5108801220,exact,I118347636
120,Rachael Swain,A5012038171,alias,I31746571
218,Ling Chen,A5100411093,exact,I114017466
218,Ling Chen,A5091998613,alias,I114017466
2000,Jian Li,A5100402609,exact,I56590836
781,Andrew Tomkins,A5033728236,alias,I56590836
14,Jia Wu,A5042695000,exact,I99043593
2182,Chengrong Chen,A5048024158,alias,I11701301
1048,Elena Marchetti,A5103088537,alias,I11701301
1440,Stuart Bedford,A5107431997,alias,I118347636
845,Chuan Zhao,A5101351451,alias,I31746571
1824,Peter Tuthill,A5107234616,exact,I129604602
103,Jun Zhang,A5072629385,alias,I11701301
1600,Tong Lin,A5101104968,exact,I149704539
2094,Birgit Hellwig,A5032018050,exact,I196829312
1293,Christine Winter,A5062676906,alias,I169541294
1133,Martin White,A5065077728,alias,I5681781
