rid,eu_name,authorid,match_type,host_id,source
2120,Stefan Muellegger,A5059816302,alias,I121883995,round2_inst
2121,Frank Noe,A5055016850,exact,I75951250,round2_inst
2122,Ilko Bald,A5048133795,exact,,name_unique
2123,Richard Kramer Campen,A5048925903,alias,I62318514,round2_inst
2124,Annamaria Petrozza,A5040606158,exact,,name_unique
2125,Malte Drescher,A5077199202,exact,,name_unique
2126,Andrew Teale,A5062330784,alias,I142263535,round2_inst
2127,Ville-Veikko Telkki,A5005498732,exact,I98381234,round3_semantic
2128,Alexandre Tkatchenko,A5026929463,exact,,name_unique
2129,Christoph Günter Salzmann,A5027451469,fuzzy,I45129253,round2_inst
2130,Beat Fierz,A5024361562,exact,,name_unique
2131,Madhavi Krishnan,A5049757316,exact,,name_unique
2132,Evgeny Alexandrovich Pidko,A5074252826,fuzzy,I98358874,round2_inst
2133,Daniel Summerer,A5056825378,exact,,name_unique
2134,Martin Ivar Högbom,A5010240755,fuzzy,I161593684,round4_semtie
2135,Sebastian Westenhoff,A5073883611,exact,,name_unique
2136,Joshua Benno Edel,A5077119082,fuzzy,I47508984,round2_inst
2137,Iván Mora Seró,A5024423448,exact,,name_unique
2138,Beatriz Roldan Cuenya,A5065326930,exact,,name_unique
2139,Sebastian Josef Maerkl,A5087352392,alias,I5124864,round2_inst
2140,Jerome Wenger,A5022399572,exact,I1294671590,round3_semantic
2141,Leo Gross,A5109283749,exact,,round4_semtie
2142,Arnaud Comment,A5042577267,exact,I241749,round2_inst
2143,Stephen Dermot Hogan,A5110401780,fuzzy,,round4_semtie
2144,Rolf Erni,A5037189873,exact,,name_unique
2145,Dan Oron,A5046587873,exact,I53964585,round4_maxpapers
2146,Jana Roithova,A5021283178,exact,I145872427,round2_inst
2147,Montserrat Calleja Gomez,A5046622124,exact,,name_unique
2148,Erwin Reisner,A5026491082,exact,I241749,round2_inst
2149,Jiri Vanicek,A5056327375,exact,I5124864,round2_inst
2150,Thorsten Hugel,A5061061667,exact,,name_unique
2151,Notburga Gierlinger,A5042267372,exact,,name_unique
2152,Jochen Blumberger,A5079840520,exact,,name_unique
2153,Stefano Corni,A5078141074,exact,,name_unique
2154,Gaël De Paëpe,A5090063965,exact,,name_unique
2155,Petra Elisabeth De Jongh,A5040096948,fuzzy,I193662353,round2_inst
2156,Pau Bernado Pereto,A5059125476,exact,,round3_semantic
2157,Xavier Salvatella Giralt,A5016848004,fuzzy,,round4_maxpapers
2158,Paola Gori-Giorgi,A5088590587,exact,,name_unique
2159,Roland Mitric,A5029118306,exact,,name_unique
2160,Véronique Van Speybroeck,A5071451863,exact,,name_unique
2161,Alexey Alexandrovich Popov,A5088665202,fuzzy,I3018417779,round4_semtie
2163,Ferdinand Cornelius Grozema,A5000471535,alias,,round3_semantic
2164,Jianting Ye,A5063444087,exact,I169381384,round4_semtie
2165,Joachim Dzubiella,A5070790975,exact,,name_unique
2166,Guido Pintacuda,A5061859662,exact,,name_unique
2167,Michele Ceotto,A5024054901,exact,,name_unique
2168,Edward Anton Lemke,A5037285551,alias,I197323543,round2_inst
2169,Ilaria Ciofini,A5063417271,exact,,name_unique
2170,Johannes Kästner,A5056979833,exact,,name_unique
2171,Jochen Küpper,A5007645050,exact,I2801876189,round2_inst
2172,Valérie Gabelica,A5013458899,exact,,name_unique
2173,Alessandro Troisi,A5089848606,exact,I146655781,round2_inst
2174,Sharon Elizabeth Marie Ashbrook,A5011998317,alias,I16835326,round2_inst
2175,Angelos Michaelides,A5056513432,exact,,name_unique
2176,Zoltan Takats,A5048603885,exact,I47508984,round2_inst
2177,Tobias Manuel Brixner,A5073962411,fuzzy,,round3_semantic
2178,Serena Debeer,A5053491539,exact,,name_unique
2179,Wilhelm Auwärter,A5061547657,exact,,name_unique
2180,Sofia Ioana Pascu,A5018800747,alias,I51601045,round2_inst
